#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
ELECT_1;Elect Liberal Party;;;;;;;;;;X
ELECT_2;Elect Progressive Party;;;;;;;;;;X
ELECT_3;Elect Socialist Party;;;;;;;;;;X
ELECT_4;Elect Democratic Party;;;;;;;;;;X
ELECT_5;Elect Conservative Party;;;;;;;;;;X
ELECT_6;Elect Labor Party;;;;;;;;;;X
ELECT_7;Elect National Party;;;;;;;;;;X
ELECT_8;No one had a Majority;;;;;;;;;;X
ELECT_9;Elect People's Party;;;;;;;;;;X
ELECT_10;Elect Nationalist Party;;;;;;;;;;X
ELECT_11;Elect People's Revolutionary Party;;;;;;;;;;X
ELECT_12;Elect Christian Social Party;;;;;;;;;;X
ELECT_13;Elect Social Democratic Workers' Party;;;;;;;;;;X
ELECT_14;Elect Left wing Coalition;;;;;;;;;;X
ELECT_15;Elect Conservative Coalition;;;;;;;;;;X
ELECT_16;Elect Opposition Coalition;;;;;;;;;;X
ELECT_17;Elect National Coalition;;;;;;;;;;X
ELECT_18;Elect Moderate Coalition;;;;;;;;;;X
ELECT_19;Elect Constitutional Coalition;;;;;;;;;;X
ELECT_20;Elect Democratic Coalition;;;;;;;;;;X
ELECT_21;Elect Social Democratic Party;;;;;;;;;;X
ELECT_22;Elect Union Party;;;;;;;;;;X
ELECT_24;Elect pro Military Coalition;;;;;;;;;;X
ELECT_25;Elect Independent Party;;;;;;;;;;X
ELECT_FRA1;Elect Popular Republican Movement;;;;;;;;;;X
ELECT_FRA2;Elect Union for the New Republic;;;;;;;;;;X
ELECT_FRA3;Elect SFIO;;;;;;;;;;X
ELECT_JAP1;Elect Seiyukai;;;;;;;;;;X
ELECT_JAP2;Elect Minseito;;;;;;;;;;X
ELECT_JAP3;Elect Democratic Liberal Party;;;;;;;;;;X
ELECT_JAP4;Elect Kaishinto;;;;;;;;;;X
ELECT_JAP5;Elect Constitutional Progressive Party;;;;;;;;;;X
ELECT_LDP;Elect Liberal Democratic Party;;;;;;;;;;X
ELECT_AST1;Elect United Australia Party;;;;;;;;;;X
ELECT_AST2;Elect Liberal-Country Coalition;;;;;;;;;;X
ELECT_LAO1;Elect National Progressive Party;;;;;;;;;;X
ELECT_KOR1;Elect Democratic Republican Party;;;;;;;;;;X
ELECT_KOR2;Elect People's Party of Korea;;;;;;;;;;X
