U03;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
830002;Head of Government;Albert Sarraut;1914;1940;1999;SL;Happy Amateur;Medium;5900;X
830003;Foreign Minister;Louis Marty;1914;1933;1999;ML;The Cloak N Dagger Schemer;Medium;7887;X
830004;Minister of Armament;Albert Sarraut;1914;1940;1999;SL;Balanced Budget Economy;Medium;5900;X
830005;Minister of Security;Albert Sarraut;1914;1940;1999;SL;Man of the People;Medium;5900;X
830006;Head of Military Intelligence;Louis Marty;1914;1940;1999;ML;Political Specialist;Medium;7887;X
830007;Chief of Staff;Leon Georges Gustave Lombard;1914;1932;1999;ML;School of Defence;Medium;unknownminister;X
830008;Chief of Army;Leon Georges Gustave Lombard;1914;1932;1999;ML;Guns and Butter Doctrine;Medium;unknownminister;X
830009;Chief of Navy;Albert Louis Marie Huguet;1914;1918;1999;ML;Open Seas Doctrine;Medium;unknownminister;X
830010;Chief of Air Force;Nestor Roume;1914;1941;1999;ML;Army Aviation Doctrine;Medium;7888;X
830011;Head of State;Joost van Vollenhoven;1912;1918;1918;PA;Benevolent Gentleman;Medium;6894;X
830202;Head of State;Nestor Roume;1914;1933;1941;ML;Barking Buffoon;Medium;7888;X
830203;Head of State;Albert Sarraut;1914;1933;1962;SL;Resigned Generalissimo;Medium;5900;X
830204;Head of State;Maurice Long;1914;1923;1923;ML;Benevolent Gentleman;Medium;7911;X
830205;Head of State;Maurice Le Gallen;1914;1925;1999;ML;Benevolent Gentleman;Medium;unknownminister;X
830206;Head of State;François Marius Baudoin;1914;1933;1955;ML;Insignificant Layman;Medium;unknownminister;X
830207;Head of State;Martial Henri Merlin;1918;1935;1935;ML;Barking Buffoon;Medium;M_Martial Henri Merlin;X
830208;Head of State;Maurice Montguillot;1918;1933;1945;ML;Resigned Generalissimo;Medium;M_Maurice Montguillot;X
830209;Head of State;Alexandre Varenne;1925;1933;1947;SL;Benevolent Gentleman;Medium;M_Alexandre Varenne;X
830210;Head of State;Pierre Pasquier;1921;1935;1935;ML;Weary Stiffneck;Medium;M_Pierre Pasquier;X
830211;Head of State;René Robin;1928;1954;1954;ML;Autocratic Charmer;Medium;M_Rene Robin;X
830212;Head of State;Jules Brévié;1930;1945;1964;PA;Resigned Generalissimo;Medium;M542010;X
830213;Head of State;Georges Catroux;1939;1969;1969;ML;Resigned Generalissimo;Medium;L24029;X
830214;Head of State;Jean Decoux;1939;1946;1964;PA;Local Tyrant2;Medium;M542006;X
830215;Head of State;Philippe Leclerc de Hauteclocque;1940;1947;1947;ML;Stern Imperialist;Medium;L24116;X
830216;Head of State;Georges Thierry d'Argenlieu;1940;1964;1964;ML;Resigned Generalissimo;Medium;L24173;X
830217;Head of State;Émile Bollaert;1940;1952;1978;ML;Benevolent Gentleman;Medium;M542017;X
830218;Head of State;Léon Pignon;1945;1952;1976;ML;Benevolent Gentleman;Medium;7913;X
830219;Head of State;Jean de Lattre de Tassigny;1945;1952;1952;ML;Resigned Generalissimo;Medium;5903;X
830220;Head of State;Jean Letourneau;1946;1956;1986;ML;Insignificant Layman;Medium;M_Jean Letourneau;X
830042;Head of Government;Joost van Vollenhoven;1914;1918;1999;SC;Old General;Medium;6894;X
830043;Head of Government;Nestor Roume;1915;1941;1999;ML;Silent Workhorse;Medium;7888;X
830044;Head of Government;Jean Eugene Charles;1916;1917;1999;ML;Happy Amateur;Medium;unknownminister;X
830045;Head of Government;Maurice Montguillot;1919;1928;1945;ML;Happy Amateur;Medium;M_Maurice Montguillot;X
830046;Head of Government;Maurice Long;1920;1923;1999;SL;Corporate Suit;Medium;7911;X
830047;Head of Government;Francois Marius Baudoin;1922;1923;1999;ML;Happy Amateur;Medium;unknownminister;X
830048;Head of Government;Martial Henri Merlin;1922;1925;1999;ML;Political Protege;Medium;M_Martial Henri Merlin;X
