CYN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
615001;Head of State;Long Yun;1927;1964;1964;PA;Die-hard Reformer;High;2374;X
615002;Head of Government;Long Yun;1927;1964;1964;PA;Ambitious Union Boss;High;2374;X
615003;Head of State;Cai E;1927;1964;1964;SC;Political Protege;High;9460;X
615004;Head of State;Tang Jiyao;1927;1964;1964;PA;Political Protege;High;9457;X
615005;Head of State;Long Jinguang;1927;1964;1964;PA;Political Protege;High;9459;X
615006;Head of State;Gu Pinzhen;1927;1964;1964;SC;Political Protege;High;9465;X
615007;Head of State;Lu Han;1927;1964;1964;PA;Political Protege;High;M_Lu Han;X
615008;Head of State;Hu Ruoyu;1927;1964;1964;PA;Political Protege;High;M_Hu Ruoyu;X
615009;Head of Government;Cai E;1927;1964;1964;SC;Political Protege;High;9460;X
615010;Head of Government;Tang Jiyao;1927;1964;1964;PA;Political Protege;High;9457;X
615011;Head of Government;Long Jinguang;1927;1964;1964;PA;Political Protege;High;9459;X
615012;Head of Government;Gu Pinzhen;1927;1964;1964;SC;Political Protege;High;9465;X
615013;Head of Government;Tang Jiyu;1927;1964;1964;PA;Political Protege;High;M_Tang Jiyu;X
615014;Head of Government;Hu Ruoyu;1927;1964;1964;PA;Political Protege;High;M_Hu Ruoyu;X
615015;Head of Government;Lu Han;1927;1964;1964;PA;Political Protege;High;M_Lu Han;X
615016;Head of Government;Li Peitian;1927;1964;1964;SC;Political Protege;High;M_Li Peitian;X
615017;Head of Government;Zhou Zhongyue;1927;1964;1964;ML;Political Protege;High;9461;X
615018;Head of Government;Zhang Weihan;1927;1964;1964;PA;Political Protege;High;M_Zhang Weihan;X
615019;Head of Government;Ding Zhaoguan;1927;1964;1964;PA;Political Protege;High;M_Ding Zhaoguan;X
615020;Head of Government;Gong Zizhi;1927;1964;1964;SC;Political Protege;High;M_Gong Zizhi;X
615021;Head of Government;Wang Dong;1927;1964;1964;SC;Political Protege;High;M_Wang Dong;X
615022;Foreign Minister;Zhang Weihan;1927;1964;1964;PA;Political Protege;High;M_Zhang Weihan;X
615023;Foreign Minister;Zhang Banghan;1927;1964;1964;SC;Political Protege;High;M_Zhang Banghan;X
615024;Foreign Minister;Zhang Yishu;1927;1964;1964;PA;Political Protege;High;M_Zhang Yishu;X
615025;Foreign Minister;Ma Ying;1927;1964;1964;SC;Political Protege;High;M_Ma Ying;X
615026;Minister of Armament;Miao Jiashou;1927;1964;1964;SC;Political Protege;High;M_Miao Jiashou;X
615027;Minister of Armament;Miao Yuntai;1927;1964;1964;SC;Political Protege;High;M_Miao Yuntai;X
615028;Minister of Armament;Ding Zhaoguan;1927;1964;1964;PA;Political Protege;High;M_Ding Zhaoguan;X
615029;Minister of Armament;Lu Chongren;1927;1964;1964;PA;Political Protege;High;M_Lu Chongren;X
615030;Minister of Armament;Li Peitian;1927;1964;1964;SC;Political Protege;High;M_Li Peitian;X
615031;Minister of Armament;Zhang Banghan;1927;1964;1964;SC;Political Protege;High;M_Zhang Banghan;X
615032;Minister of Armament;Ji Zhongyin;1927;1964;1964;SC;Political Protege;High;M_Ji Zhongyin;X
615033;Minister of Armament;Cun Shusheng;1927;1964;1964;ML;Political Protege;High;M_Cun Shusheng;X
615034;Minister of Armament;Chen Jun;1927;1964;1964;PA;Political Protege;High;M_Chen Jun;X
615035;Minister of Armament;Wang Jiuling;1927;1964;1964;SC;Political Protege;High;M_Wang Jiuling;X
615036;Minister of Security;Zhang Yaoceng;1927;1964;1964;SC;Political Protege;High;M_Zhang Yaoceng;X
615037;Minister of Security;Ding Zhaoguan;1927;1964;1964;PA;Political Protege;High;M_Ding Zhaoguan;X
615038;Minister of Security;Chen Jun;1927;1964;1964;PA;Political Protege;High;M_Chen Jun;X
615039;Minister of Security;Li Peitian;1927;1964;1964;SC;Political Protege;High;M_Li Peitian;X
615040;Minister of Security;Lu Chongren;1927;1964;1964;PA;Political Protege;High;M_Lu Chongren;X
615041;Minister of Security;Yuan Piyou;1927;1964;1964;SC;Political Protege;High;M_Yuan Piyou;X
615042;Minister of Security;Li Hongmo;1927;1964;1964;PA;Political Protege;High;M_Li Hongmo;X
615043;Minister of Security;Hu Ying;1927;1964;1964;PA;Political Protege;High;M_Hu Ying;X
615044;Minister of Security;Li Xuanting;1927;1964;1964;PA;Political Protege;High;M_Li Xuanting;X
615045;Minister of Security;Tang Jilin;1927;1964;1964;PA;Political Protege;High;M_Tang Jilin;X
615046;Minister of Security;Lu Yafu;1927;1964;1964;SC;Political Protege;High;M_Lu Yafu;X
615047;Minister of Security;Gong Zizhi;1927;1964;1964;SC;Political Protege;High;M_Gong Zizhi;X
615048;Minister of Security;Li Zonghuang;1927;1964;1964;PA;Political Protege;High;M_Li Zonghuang;X
615049;Head of Military Intelligence;Sun Du;1927;1964;1964;PA;Political Protege;High;M_Sun Du;X
615050;Head of Military Intelligence;Ma Ying;1927;1964;1964;SC;Political Protege;High;M_Ma Ying;X
615051;Head of Military Intelligence;Long Zehui;1927;1964;1964;SC;Political Protege;High;M_Long Zehui;X
615052;Head of Military Intelligence;Er Xiaoqing;1927;1964;1964;SC;Political Protege;High;M_Er Xiaoqing;X
615053;Head of Military Intelligence;Tang Jilin;1927;1964;1964;PA;Political Protege;High;M_Tang Jilin;X
615054;Chief of Staff;Ma Ying;1927;1964;1964;SC;Political Protege;High;M_Ma Ying;X
615055;Chief of Staff;Er Xiaoqing;1927;1964;1964;SC;Political Protege;High;M_Er Xiaoqing;X
615056;Chief of Staff;Lu Han;1927;1964;1964;PA;Political Protege;High;M_Lu Han;X
615057;Chief of Staff;Sun Du;1927;1964;1964;PA;Political Protege;High;M_Sun Du;X
615058;Chief of Staff;Long Yun;1927;1964;1964;PA;Political Protege;High;2374;X
615059;Chief of Staff;Li Xuanting;1927;1964;1964;PA;Political Protege;High;M_Li Xuanting;X
615060;Chief of Staff;Liao Xingchao;1927;1964;1964;SC;Political Protege;High;M_Liao Xingchao;X
615061;Chief of Staff;Tang Jilin;1927;1964;1964;PA;Political Protege;High;M_Tang Jilin;X
615062;Chief of Staff;Luo Peijin;1927;1964;1964;PA;Political Protege;High;M_Luo Peijin;X
615063;Chief of Staff;Wang Jiuling;1927;1964;1964;SC;Political Protege;High;M_Wang Jiuling;X
615064;Chief of Army;Cai E;1927;1964;1964;SC;Political Protege;High;9460;X
615065;Chief of Army;Tang Jiyao;1927;1964;1964;PA;Political Protege;High;9457;X
615066;Chief of Army;Gu Pinzhen;1927;1964;1964;ML;Political Protege;High;9465;X
615067;Chief of Army;Long Yun;1927;1964;1964;PA;Political Protege;High;2374;X
615068;Chief of Army;Lu Han;1927;1964;1964;PA;Political Protege;High;M_Lu Han;X
615069;Chief of Army;Hu Ruoyu;1927;1964;1964;PA;Political Protege;High;M_Hu Ruoyu;X
615070;Chief of Navy;Zhang Chong;1927;1964;1964;SC;Political Protege;High;M_Zhang Chong;X
615071;Chief of Air Force;Liu Peiquan;1927;1964;1964;SC;Air Superiority Doctrine;High;M_Liu Peiquan;X
615072;Chief of Air Force;Yang Ruxuan;1927;1964;1964;PA;Political Protege;High;M_Yang Ruxuan;X
615073;Chief of Army;Li Mi;1927;1964;1964;PA;Political Protege;High;M_Li Mi;X
615074;Chief of Army;An Enbo;1927;1964;1964;PA;Political Protege;High;M_An Enbo;X
615075;Chief of Army;Qiu Qingquan;1927;1964;1964;PA;Political Protege;High;M_Qiu Qingquan;X
615076;Chief of Staff;Li Mi;1927;1964;1964;PA;Political Protege;High;M_Li Mi;X
615077;Head of Government;Ren Kecheng;1927;1964;1964;SC;Political Protege;High;9458;X
615078;Foreign Minister;Wang Zhanqi;1927;1964;1964;PA;Political Protege;High;M_Wang Zhanqi;X
615079;Chief of Air Force;Yan Yucong;1927;1964;1964;PA;Carpet Bombing Doctrine;High;M_Yan Yucong;X
615080;Foreign Minister;Ren Kecheng;1927;1964;1964;PA;General Staffer;High;9458;X
